station_id,name,lat,lon,capacity
2228,384 - Gabrio Rosa,45.4370981185808,9.22423362461106,30
2227,343 - Ortles - Ripamonti,45.4388845662686,9.20045223215288,30
2226,342 - Bologna,45.444625624164,9.22368985503459,30
2225,341 - Cuoco - Monte Cimone,45.450499246255,9.22483993199514,30
2224,340 - Corvetto - Polesine,45.4398393314734,9.22404184256379,30
2223,383 - Angilberto - Comacchio,45.43697741283822,9.217861220551782,36
2222,202 - Marche - Zara,45.4956689767608,9.194136094479404,36
2221,198 - Garibaldi 2 - Sturzo,45.4835608765734,9.18830564644486,30
2220,235 - Certosa - Monteceneri,45.4897226580409,9.151959359754642,30
2219,220 - Sempione - Castelvetro,45.48354588650152,9.162514410118888,30
2218,402 - San Babila Bis,45.4662351775674,9.197231009602547,24
2216,134 - Teodosio - Porpora,45.4862193918482,9.230042472481728,30
2215,326 - Arcimboldi - Innovazione,45.515854444309355,9.213961914663912,36
2214,327 - Pirelli - UNI Bicocca,45.51854906600519,9.212848842144012,24
2213,324 - Staz. Greco - Pirelli - Cozzi,45.5128561793357,9.213593155145645,30
2212,197 - Garibaldi - Sturzo,45.4838678460168,9.188586920499802,27
2211,303 - Benaco - Brembo,45.44450414438672,9.212037473917007,30
2210,222 - Durante - D'aviano,45.48880306433099,9.222054854035378,30
2209,312 - De Marchi - Bottelli,45.5032480096457,9.211283102631569,30
2208,311 - De Marchi - Lucini,45.50038300466718,9.208993837237358,30
2207,317 - Alserio - Cola Montano,45.4909917596509,9.185879901051521,30
2206,319 - Gioia - Cagliero,45.4937124676405,9.206086322665215,30
2205,296 - Gioia - Cassina De' Pomm,45.4969106226505,9.20821599662304,30
2204,315 - Ospedale Maggiore,45.508591305557204,9.189549833536148,30
2203,323 - Temolo - Innovazione,45.51133089910579,9.210902228951454,30
2202,329 - Chiese - F. Testi,45.52237908294681,9.210232347249985,30
2201,322 - Bicocca M5 - Pulci,45.5141709132862,9.20579295605421,30
2200,330 - Suzzani - Arezzo,45.526812030198485,9.209349900484085,30
2199,328 - Bussero - F. Testi,45.5186768627278,9.207119643688202,30
2198,310 - Istria M5 - F. Testi,45.5017751069887,9.198427945375443,30
2197,313 - Ca' Granda - F. Testi,45.506626046713706,9.200289733707905,30
2196,321 - Piazza Nizza,45.5034294174545,9.188718348741531,27
2195,280 - Murat - Villani - Milano Sport,45.4994949620154,9.190676361322403,30
2194,283 - Reni - Guardi,45.47048852203311,9.225905943021644,30
2191,252 - Bovisa - Lambruschini,45.502180605505515,9.158547627948792,30
2190,334 - Molino Dorino M1,45.505082645405416,9.09434621935361,30
2189,239 - Marussig - Castelvetro,45.4864153338653,9.165998804674018,30
2188,229 - QT8 - Isernia,45.48673641788378,9.13705235128873,30
